Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;0.02;0.06;0.92;-0.70;4.17;8.14;348.23;-286.87;-383.00;0.92;-49.20;28.76;17.58 
0.030;0.02;0.07;0.86;-0.07;5.57;3.20;348.23;-289.74;-387.00;0.86;-49.52;28.93;17.57 
0.059;0.00;0.06;0.86;0.90;3.20;-1.18;349.23;-285.91;-389.00;0.86;-49.62;28.69;17.48 
0.089;0.00;0.08;0.85;0.70;-1.11;-5.63;349.23;-287.82;-387.00;0.85;-49.61;28.57;17.51 
0.120;0.02;0.04;0.93;-0.42;-2.09;-8.35;349.23;-286.87;-386.00;0.93;-49.49;28.44;17.53 
0.149;0.04;0.04;0.90;-1.60;2.30;-7.37;349.23;-286.87;-387.00;0.90;-49.35;28.24;17.51 
0.179;0.03;0.04;0.92;-1.60;5.84;-8.42;347.24;-286.87;-386.00;0.92;-49.21;27.96;17.47 
0.210;0.00;0.06;0.90;-1.39;8.14;-9.39;347.24;-284.00;-384.00;0.90;-49.01;27.53;17.44 
0.240;0.02;0.00;0.84;-0.90;5.63;-8.14;347.24;-280.18;-385.00;0.84;-48.87;27.48;17.63 
0.270;0.00;0.00;0.88;-0.83;1.25;-7.30;344.25;-280.18;-383.00;0.88;-48.78;27.55;17.80 
0.300;0.00;0.01;0.89;-1.04;0.70;-8.00;345.25;-277.31;-385.00;0.89;-48.70;27.70;17.96 
0.330;-0.02;0.00;0.86;-0.97;1.60;-8.14;347.24;-274.44;-384.00;0.86;-48.59;27.83;18.14 
0.359;0.00;0.01;0.90;-0.97;0.14;-6.61;346.24;-277.31;-382.00;0.90;-48.52;27.96;18.30 
0.389;0.00;0.00;0.89;-1.39;-0.97;-3.97;348.23;-275.39;-387.00;0.89;-48.49;28.15;18.43 
0.420;-0.02;0.00;0.85;-1.95;-2.30;-0.70;344.25;-275.39;-386.00;0.85;-48.55;28.42;18.52 
0.450;-0.05;0.00;0.87;-2.85;-3.55;3.13;343.26;-275.39;-385.00;0.87;-48.73;28.76;18.54 
0.480;-0.02;0.00;0.88;-3.69;-2.99;4.87;345.25;-275.39;-385.00;0.88;-48.93;28.72;18.24 
0.511;-0.02;0.02;0.91;-4.80;-0.90;5.08;346.24;-281.13;-388.00;0.91;-49.18;28.73;17.96 
0.541;-0.04;0.02;0.89;-4.80;2.85;2.99;342.26;-278.26;-385.00;0.89;-49.44;28.98;17.85 
0.571;-0.03;0.00;0.91;-3.13;7.58;0.14;341.27;-276.35;-388.00;0.91;-49.55;28.67;17.58 
0.601;0.01;0.07;0.88;-0.21;9.11;-5.63;340.27;-277.31;-387.00;0.88;-49.59;28.56;17.61 
0.632;0.09;0.09;0.85;0.21;5.57;-13.15;341.27;-270.61;-387.00;0.86;-49.39;28.19;17.68 
0.662;0.08;0.00;0.95;2.85;-2.16;-18.16;343.26;-271.57;-388.00;0.95;-49.02;27.91;17.88 
0.692;0.11;-0.16;0.92;0.77;1.25;-9.74;340.27;-271.57;-385.00;0.94;-48.73;27.81;17.98 
0.722;0.06;-0.12;0.88;-2.09;3.13;0.56;339.28;-269.66;-385.00;0.89;-48.75;27.62;17.76 
0.752;0.06;-0.08;0.90;-6.05;-1.67;3.20;340.27;-269.66;-389.00;0.91;-48.99;27.58;17.38 
0.782;0.05;0.00;0.85;-4.94;-3.55;0.70;337.29;-268.70;-391.00;0.85;-49.18;27.59;17.02 
0.812;0.05;-0.05;0.83;-3.48;-6.61;-1.88;339.28;-272.53;-385.00;0.83;-49.30;27.62;16.75 
0.842;0.02;-0.02;0.97;-3.48;-9.25;-0.90;339.28;-272.53;-385.00;0.97;-49.40;27.74;16.50 
0.872;0.02;0.02;0.97;-3.97;-0.28;-2.85;336.29;-272.53;-389.00;0.97;-49.50;27.79;16.27 
0.902;0.02;-0.04;0.87;-1.74;6.82;-3.41;333.31;-269.66;-388.00;0.87;-49.51;27.65;16.14 
0.933;-0.05;-0.10;0.84;0.97;3.20;0.07;333.31;-269.66;-387.00;0.85;-49.58;27.36;15.96 
0.963;-0.09;-0.08;0.88;0.90;3.06;8.49;336.29;-270.61;-388.00;0.89;-49.84;27.24;15.76 
0.993;-0.14;0.02;0.91;-1.18;9.39;13.36;336.29;-271.57;-387.00;0.92;-50.26;26.99;15.47 
1.023;-0.12;0.00;0.85;-7.93;12.94;13.22;335.30;-268.70;-386.00;0.86;-50.76;26.93;15.20 
1.052;-0.05;0.00;0.82;-6.47;5.84;17.32;336.29;-268.70;-387.00;0.82;-51.32;26.67;14.65 
1.082;0.03;0.05;0.93;1.32;-8.70;18.09;333.31;-268.70;-387.00;0.93;-51.99;27.09;14.41 
1.112;0.05;0.09;0.98;2.99;-8.56;15.37;337.29;-272.53;-390.00;0.99;-52.63;27.42;14.18 
1.141;0.03;0.08;0.99;10.09;0.63;10.78;338.28;-275.39;-388.00;0.99;-53.19;27.56;14.08 
1.171;0.03;0.12;0.88;14.12;4.73;7.23;342.26;-276.35;-390.00;0.89;-53.61;27.47;14.22 
1.201;0.00;0.13;0.83;12.45;3.62;1.39;344.25;-278.26;-385.00;0.84;-53.94;27.57;14.56 
1.232;0.00;0.11;0.82;9.53;-0.21;-7.65;344.25;-277.31;-388.00;0.83;-53.97;27.40;14.92 
1.262;0.00;0.09;0.82;9.81;-5.50;-13.77;351.22;-275.39;-384.00;0.82;-53.82;27.65;15.40 
1.292;0.00;0.10;0.94;9.53;-5.63;-15.65;348.23;-275.39;-380.00;0.95;-53.58;27.92;15.92 
1.323;-0.02;-0.05;0.91;5.15;-2.85;-9.25;350.22;-276.35;-379.00;0.91;-53.36;28.17;16.38 
1.352;0.00;0.00;0.90;4.10;-0.21;-4.52;350.22;-273.48;-385.00;0.90;-53.34;28.31;16.60 
1.382;-0.05;0.07;0.85;6.47;0.83;-6.68;351.22;-275.39;-381.00;0.85;-53.31;28.17;16.74 
1.411;-0.03;0.09;0.84;3.27;1.95;-7.17;353.21;-272.53;-378.00;0.85;-53.18;27.88;16.92 
1.440;-0.09;0.09;0.86;-1.32;4.66;-6.82;352.21;-271.57;-380.00;0.87;-53.06;27.52;16.97 
1.470;-0.12;0.02;0.86;-4.38;6.75;-7.72;348.23;-270.61;-380.00;0.87;-52.91;27.08;16.94 
1.500;-0.14;0.00;0.88;-5.43;2.37;-5.77;353.21;-266.79;-380.00;0.89;-52.78;26.63;16.80 
1.531;-0.08;-0.04;0.96;-5.91;-1.04;-2.02;348.23;-266.79;-383.00;0.96;-52.79;26.48;16.58 
1.561;-0.06;0.00;0.94;-12.80;5.36;0.49;348.23;-266.79;-380.00;0.94;-52.89;26.26;16.19 
1.591;-0.10;0.12;0.97;-18.09;13.15;-4.24;346.24;-262.96;-379.00;0.98;-52.98;25.87;15.65 
1.621;-0.05;0.18;0.94;-11.27;22.96;-21.84;341.27;-262.01;-383.00;0.96;-52.69;25.11;15.35 
1.651;0.06;0.14;0.77;1.39;33.11;-34.64;336.29;-251.49;-383.00;0.78;-51.91;23.91;15.57 
1.681;0.13;-0.18;0.72;10.30;16.63;-30.89;340.27;-242.88;-380.00;0.75;-51.03;22.82;16.03 
1.711;0.17;-0.26;0.86;2.16;-13.36;-4.24;340.27;-239.06;-379.00;0.91;-50.76;22.75;16.08 
1.742;-0.04;-0.09;1.05;4.10;-4.17;4.17;342.26;-240.97;-379.00;1.05;-51.05;23.37;16.11 
1.772;-0.08;0.14;1.02;3.55;23.23;-8.35;338.28;-241.93;-378.00;1.03;-51.13;23.02;16.20 
1.802;-0.10;0.00;0.84;-0.77;21.22;-7.03;342.26;-236.19;-374.00;0.85;-51.02;22.19;16.29 
1.833;-0.10;-0.15;0.76;-1.18;10.71;4.80;340.27;-235.23;-375.00;0.78;-51.15;21.55;15.98 
1.863;-0.07;-0.03;0.77;3.41;1.32;12.03;341.27;-232.36;-376.00;0.77;-51.65;21.38;15.64 
1.893;-0.04;0.02;0.88;1.88;-1.32;10.71;342.26;-231.41;-375.00;0.88;-52.19;21.42;15.44 
1.922;-0.05;0.02;0.85;0.90;0.42;8.97;341.27;-235.23;-377.00;0.85;-52.67;21.45;15.25 
1.952;-0.07;-0.02;0.77;-0.07;-2.85;9.88;340.27;-233.32;-376.00;0.77;-53.14;21.47;15.03 
1.982;-0.04;-0.04;0.79;-2.02;-8.00;16.07;344.25;-239.06;-375.00;0.79;-53.73;21.76;14.72 
2.012;0.00;0.02;0.85;-1.95;-8.07;20.94;344.25;-241.93;-373.00;0.85;-54.49;22.08;14.29 
2.042;-0.03;0.02;0.82;-1.95;-9.95;21.29;344.25;-245.75;-376.00;0.82;-55.35;22.45;13.85 
2.072;-0.08;0.10;0.81;-1.88;-7.79;16.70;344.25;-250.53;-378.00;0.82;-56.14;22.82;13.45 
2.102;-0.11;0.06;0.80;-1.04;-2.99;12.10;346.24;-248.62;-377.00;0.81;-56.75;22.95;13.15 
2.133;-0.12;0.02;0.80;0.97;0.21;11.76;349.23;-253.40;-377.00;0.81;-57.28;22.91;12.91 
2.163;-0.10;0.02;0.77;0.14;-0.77;12.03;349.23;-253.40;-380.00;0.78;-57.83;22.86;12.70 
2.193;-0.11;0.08;0.73;-0.63;-3.20;10.16;348.23;-256.27;-377.00;0.74;-58.35;22.84;12.46 
2.223;-0.12;0.10;0.74;-1.53;1.88;4.59;351.22;-258.18;-376.00;0.76;-58.72;22.78;12.35 
2.254;-0.08;0.06;0.66;-4.10;12.66;0.63;350.22;-256.27;-377.00;0.67;-58.98;22.47;12.22 
2.284;-0.07;0.07;0.54;-2.64;20.87;-2.09;350.22;-253.40;-377.00;0.55;-59.17;21.85;12.03 
2.314;-0.06;0.05;0.50;-0.21;23.65;-6.33;351.22;-253.40;-377.00;0.51;-59.20;21.02;12.02 
2.345;-0.05;0.01;0.46;-2.57;18.23;-7.58;347.24;-244.79;-375.00;0.46;-59.20;20.25;12.01 
2.374;-0.04;0.07;0.50;-3.97;3.20;-7.37;351.22;-242.88;-372.00;0.51;-59.20;19.77;11.93 
2.403;0.00;0.09;0.65;-3.90;-15.58;-9.18;352.21;-243.84;-373.00;0.66;-59.16;19.80;11.89 
2.433;0.06;0.02;0.81;-4.10;-36.59;-11.27;348.23;-245.75;-376.00;0.81;-59.10;20.54;11.82 
2.463;0.04;-0.05;1.04;-5.29;-45.63;-7.72;347.24;-253.40;-374.00;1.04;-59.08;21.77;11.62 
2.493;0.02;0.00;1.32;0.07;-32.21;-2.99;347.24;-262.01;-380.00;1.32;-59.21;23.21;11.60 
2.523;0.03;0.05;1.34;-0.28;7.10;-2.23;345.25;-264.88;-379.00;1.34;-59.40;23.60;11.48 
2.554;0.06;0.03;1.05;-2.23;26.99;-3.97;347.24;-261.05;-377.00;1.05;-59.50;23.02;11.42 
2.584;0.10;0.03;0.90;-0.97;7.58;-3.97;347.24;-258.18;-374.00;0.91;-59.61;22.44;11.29 
2.613;0.14;0.02;0.93;1.46;-13.70;-5.08;346.24;-257.23;-375.00;0.94;-59.71;22.58;11.24 
2.643;0.14;0.02;0.99;2.37;-14.47;-3.76;348.23;-257.23;-376.00;1.00;-59.85;23.08;11.23 
2.672;0.22;0.05;1.01;2.37;-8.14;-3.48;346.24;-263.92;-375.00;1.03;-60.01;23.61;11.32 
2.702;0.18;0.06;0.94;4.59;-2.37;-6.75;351.22;-262.96;-378.00;0.96;-60.13;23.86;11.36 
2.732;0.24;0.01;0.92;4.52;1.88;-7.37;349.23;-262.96;-377.00;0.95;-60.18;23.92;11.48 
2.762;0.15;0.00;0.89;0.63;-4.17;-1.95;353.21;-264.88;-378.00;0.90;-60.28;24.15;11.60 
2.792;0.09;-0.02;0.98;-3.06;-0.90;4.80;351.22;-262.96;-376.00;0.98;-60.57;24.36;11.43 
2.822;0.03;0.07;1.03;-6.54;11.83;5.91;351.22;-264.88;-375.00;1.03;-61.00;24.26;11.08 
2.853;-0.06;0.10;1.13;-8.70;21.91;-1.67;352.21;-262.96;-374.00;1.14;-61.26;23.72;10.78 
2.883;-0.23;0.02;1.36;-6.47;36.59;-9.53;350.22;-255.31;-376.00;1.38;-61.28;22.78;10.57 
2.913;-0.51;-0.14;1.74;2.02;51.62;-9.11;350.22;-248.62;-373.00;1.82;-61.18;21.26;10.49 
2.943;-0.32;-0.26;2.31;21.36;89.46;0.28;353.21;-238.10;-367.00;2.35;-61.28;19.24;10.64 
2.973;0.18;0.11;2.04;-12.17;152.28;10.92;353.21;-231.41;-361.00;2.05;-61.85;15.66;10.96 
3.003;0.23;0.18;1.30;-12.73;201.11;-2.92;352.21;-183.60;-342.00;1.33;-62.63;10.66;10.64 
3.033;0.21;0.03;0.75;-17.74;199.03;-5.57;355.20;-152.04;-327.00;0.78;-63.36;5.04;10.23 
3.064;0.11;0.00;0.41;-19.48;166.68;0.14;353.21;-125.27;-309.00;0.42;-64.40;-0.09;9.62 
3.094;-0.05;0.00;0.17;-17.11;139.27;4.59;347.24;-102.32;-292.00;0.18;-65.63;-4.33;9.00 
3.124;-0.22;0.04;0.00;-12.59;113.60;4.66;342.26;-79.37;-270.00;0.22;-66.87;-8.24;8.70 
3.155;-0.33;0.03;0.01;-12.24;76.59;1.88;345.25;-73.63;-263.00;0.33;-68.06;-11.55;8.64 
3.184;-0.36;0.02;0.32;-15.44;42.23;3.90;343.26;-63.11;-251.00;0.48;-69.05;-13.68;8.32 
3.213;-0.45;0.00;0.70;-12.45;24.35;0.83;341.27;-58.33;-245.00;0.83;-69.81;-14.75;7.91 
3.243;-0.35;0.05;1.12;-11.90;48.14;2.23;344.25;-54.51;-239.00;1.17;-70.48;-15.48;7.54 
3.273;-0.18;0.06;1.10;-16.49;134.61;-4.59;340.27;-47.81;-228.00;1.12;-71.47;-17.72;7.13 
3.302;-0.06;0.07;0.60;-19.97;188.03;-9.67;338.28;-32.51;-207.00;0.61;-72.76;-21.91;6.62 
3.331;0.02;0.10;0.22;-18.30;198.61;-19.76;336.29;-12.43;-176.00;0.24;-74.16;-27.18;6.03 
3.361;0.00;-0.11;-0.08;-18.64;190.75;-17.53;329.33;0.00;-148.00;0.14;-75.61;-32.37;5.74 
3.391;-0.54;-0.36;-0.40;-17.60;152.63;9.46;328.33;14.34;-103.00;0.76;-77.08;-37.93;4.89 
3.421;-1.56;-0.48;-0.94;-18.71;90.30;38.26;333.31;15.30;-83.00;1.88;-79.21;-42.29;4.74 
3.452;-1.34;0.22;-0.80;-20.66;30.82;27.41;339.28;9.56;-71.00;1.58;-81.36;-44.67;4.98 
3.481;-1.21;0.06;-0.43;-4.31;2.37;8.83;343.26;14.34;-70.00;1.29;-82.57;-45.87;5.29 
3.511;-1.45;0.04;-0.04;-7.58;-5.29;-2.30;344.25;12.43;-72.00;1.45;-83.08;-45.85;5.38 
3.541;-1.50;0.11;0.22;-2.37;34.09;-26.09;341.27;16.26;-75.00;1.52;-83.23;-46.61;5.09 
