Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;-0.26;0.32;0.72;-15.51;-2.99;46.47;268.21;-468.04;-413.00;0.83;-144.41;0.16;3.17 
0.030;-0.21;0.20;0.71;-17.18;-14.47;36.31;263.24;-471.84;-413.00;0.77;-145.87;0.19;3.07 
0.059;-0.14;0.17;0.67;-11.20;-26.85;25.25;255.29;-475.64;-416.00;0.71;-147.01;0.58;2.89 
0.088;-0.16;0.18;0.79;-19.27;-28.45;11.90;252.31;-485.13;-413.00;0.83;-147.79;1.06;2.55 
0.118;-0.18;0.54;0.82;-12.73;-37.15;3.48;245.36;-497.47;-413.00;1.00;-148.13;1.80;2.51 
0.149;-0.30;0.56;0.77;-5.57;-46.33;6.61;244.37;-506.97;-411.00;1.00;-148.48;2.84;2.84 
0.179;-0.18;0.39;0.67;1.95;-42.78;0.35;242.38;-514.56;-407.00;0.80;-148.73;3.88;3.40 
0.208;-0.07;0.19;0.75;6.19;-29.29;-12.73;242.38;-522.16;-405.00;0.78;-148.76;4.77;3.92 
0.238;-0.11;0.35;0.96;1.60;-44.38;-16.42;245.36;-533.55;-403.00;1.03;-148.35;5.39;4.28 
0.268;-0.07;0.40;1.02;-26.09;-82.02;4.87;241.39;-544.94;-400.00;1.10;-148.16;6.81;4.28 
0.298;0.03;0.54;0.97;-39.44;-93.08;7.65;237.41;-559.18;-396.00;1.11;-148.29;9.28;3.45 
0.328;0.05;0.48;1.04;-44.31;-83.13;10.37;228.47;-577.22;-387.00;1.15;-148.28;11.93;2.59 
0.357;0.14;0.35;1.08;-51.41;-90.50;25.25;213.57;-602.85;-374.00;1.14;-148.44;14.25;1.55 
0.387;0.24;0.08;1.10;-41.11;-67.76;22.68;200.66;-617.10;-370.00;1.13;-148.85;16.46;0.23 
0.417;0.27;0.12;0.85;-25.95;-66.85;17.74;190.73;-630.39;-364.00;0.90;-149.18;18.38;-0.80 
0.448;0.18;0.12;0.93;-29.91;-43.20;3.48;185.76;-638.93;-355.00;0.95;-149.35;19.83;-1.53 
0.478;0.22;0.17;0.83;-26.99;-35.48;-2.71;178.80;-647.48;-350.00;0.88;-149.19;20.83;-2.04 
0.508;0.24;0.17;0.74;-19.27;-15.65;-0.14;171.85;-653.17;-342.00;0.80;-149.06;21.55;-2.40 
0.539;0.26;0.22;0.86;-17.39;-13.91;0.42;165.89;-656.97;-345.00;0.92;-149.06;21.80;-2.53 
0.569;0.28;0.22;0.82;-20.59;-22.40;5.01;161.92;-659.82;-341.00;0.89;-149.13;22.26;-2.79 
0.599;0.30;0.21;0.82;-18.71;-22.26;4.87;159.93;-663.61;-341.00;0.90;-149.22;22.81;-3.02 
0.629;0.27;0.20;0.82;-15.58;-16.83;2.99;153.97;-666.46;-337.00;0.89;-149.33;23.23;-3.16 
0.660;0.35;0.14;0.84;-11.69;-16.21;2.09;158.94;-669.31;-332.00;0.92;-149.42;23.73;-3.25 
0.690;0.34;0.13;0.85;-8.56;-18.71;0.90;152.98;-675.01;-330.00;0.92;-149.48;24.20;-3.26 
0.720;0.33;0.14;0.82;-7.79;-16.35;1.39;150.99;-677.86;-328.00;0.89;-149.57;24.58;-3.27 
0.751;0.31;0.16;0.81;-2.02;-12.45;1.81;146.02;-677.86;-325.00;0.88;-149.72;24.89;-3.11 
