Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;-0.99;0.30;-0.52;-10.64;-3.06;-2.92;-38.97;109.27;362.00;1.16;-3.52;-42.44;9.08 
0.029;-1.02;0.29;-0.56;-11.62;-3.20;-7.51;-37.97;110.23;360.00;1.20;-2.98;-42.16;8.81 
0.060;-0.98;0.34;-0.61;-7.37;-2.71;-5.01;-36.97;108.31;361.00;1.20;-2.42;-41.84;8.50 
0.090;-0.99;0.33;-0.50;-4.24;-9.53;-2.50;-36.97;107.35;357.00;1.16;-2.05;-41.63;8.15 
0.120;-0.95;0.32;-0.53;-6.96;-13.43;-3.69;-42.96;109.27;356.00;1.13;-1.73;-41.60;7.84 
0.150;-0.98;0.32;-0.53;-8.56;-7.93;-1.95;-39.97;105.44;352.00;1.16;-1.35;-41.53;7.60 
0.181;-1.05;0.33;-0.51;-11.76;-12.38;-8.77;-35.97;101.60;348.00;1.21;-0.79;-41.49;7.35 
0.211;-0.98;0.33;-0.51;-12.10;-18.37;-13.84;-37.97;97.77;347.00;1.15;-0.00;-41.66;7.02 
0.241;-1.00;0.34;-0.50;-14.89;-18.78;-17.88;-37.97;96.81;334.00;1.17;0.91;-41.88;6.67 
0.272;-1.02;0.38;-0.41;-20.80;-27.34;-14.19;-33.97;93.93;325.00;1.16;2.03;-42.19;6.43 
0.302;-1.06;0.34;-0.38;-31.51;-48.14;-11.41;-29.98;94.89;312.00;1.18;3.27;-43.02;6.43 
0.332;-1.02;0.36;-0.43;-34.71;-60.17;-4.24;-27.98;97.77;303.00;1.16;4.72;-44.27;6.71 
0.361;-1.03;0.36;-0.38;-26.99;-68.94;4.31;-22.98;98.73;285.00;1.16;5.90;-45.78;7.07 
0.391;-1.02;0.39;-0.30;-27.20;-76.31;13.43;-12.99;104.48;258.00;1.13;6.80;-47.52;7.59 
0.421;-1.05;0.37;-0.24;-25.18;-87.17;19.06;-6.00;107.35;240.00;1.14;7.58;-49.50;8.22 
0.451;-1.09;0.34;-0.21;-24.00;-93.63;22.12;3.00;112.15;216.00;1.16;8.25;-51.71;8.93 
0.482;-1.05;0.31;-0.13;-23.17;-99.83;18.71;10.99;120.77;193.00;1.10;9.10;-54.17;9.61 
0.512;-1.02;0.30;-0.10;-26.64;-103.37;13.08;22.98;128.44;147.00;1.07;10.36;-56.84;10.22 
0.542;-1.00;0.30;0.01;-22.33;-114.02;5.70;28.98;131.32;115.00;1.04;12.05;-59.44;10.54 
0.572;-1.03;0.36;0.02;-15.79;-122.64;8.00;29.98;133.23;83.00;1.09;13.96;-62.49;10.66 
0.602;-1.02;0.29;0.06;-14.33;-116.10;4.24;38.97;136.11;50.00;1.06;16.70;-65.84;10.92 
