Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;-0.59;0.18;0.70;-3.20;8.14;10.09;-69.00;41.26;-322.73;0.93;140.56;-39.57;5.96 
0.030;-0.58;0.05;0.72;-3.20;7.03;9.88;-63.00;43.18;-322.73;0.93;140.13;-39.67;6.14 
0.060;-0.58;0.14;0.74;-4.17;3.27;5.29;-63.00;42.22;-321.73;0.95;139.82;-39.76;6.22 
0.090;-0.56;0.16;0.70;-4.87;0.70;6.54;-62.00;44.14;-320.73;0.91;139.58;-39.75;6.30 
0.119;-0.57;0.15;0.69;-5.29;2.30;8.00;-60.00;45.10;-317.74;0.91;139.28;-39.75;6.40 
0.150;-0.58;0.14;0.69;-4.87;5.15;8.49;-61.00;47.98;-315.74;0.91;138.91;-39.82;6.52 
0.180;-0.57;0.12;0.69;-3.69;5.29;6.68;-67.00;49.90;-316.74;0.90;138.55;-39.93;6.62 
0.210;-0.59;0.11;0.71;-3.34;4.45;6.40;-62.00;49.90;-318.74;0.93;138.25;-40.03;6.69 
0.241;-0.60;0.13;0.70;-3.13;1.60;6.26;-62.00;47.98;-319.74;0.93;138.01;-40.05;6.78 
0.271;-0.62;0.14;0.67;-2.64;-0.56;8.49;-60.00;50.86;-315.74;0.92;137.74;-40.04;6.90 
0.300;-0.60;0.16;0.66;-0.56;1.46;8.97;-63.00;49.90;-319.74;0.91;137.47;-39.98;7.09 
0.330;-0.62;0.14;0.66;0.28;4.38;6.40;-61.00;52.77;-315.74;0.92;137.17;-40.04;7.31 
0.360;-0.60;0.08;0.70;3.13;5.50;-1.67;-58.00;51.82;-314.74;0.93;137.06;-40.19;7.39 
0.390;-0.61;0.12;0.70;6.26;5.43;-7.37;-60.00;53.73;-316.74;0.94;137.20;-40.33;7.41 
0.420;-0.64;0.16;0.68;3.97;-2.09;-12.10;-60.00;54.69;-314.74;0.95;137.56;-40.43;7.41 
0.451;-0.58;0.23;0.65;1.53;-2.30;-11.48;-62.00;53.73;-314.74;0.90;138.04;-40.39;7.33 
