Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;-0.43;0.01;0.78;-2.99;6.61;1.67;50.87;3.84;-256.00;0.89;84.32;-13.65;18.54 
0.030;-0.50;0.00;0.82;-2.16;6.40;0.90;49.87;5.76;-253.00;0.96;84.13;-13.85;18.46 
0.060;-0.57;0.02;0.86;-1.04;-4.80;-0.07;49.87;6.72;-251.00;1.03;83.97;-13.71;18.60 
0.090;-0.51;0.06;0.82;-1.25;-18.23;0.14;50.87;7.68;-254.00;0.97;83.99;-13.39;18.57 
0.120;-0.49;0.06;0.74;-2.71;-18.30;-1.18;51.87;6.72;-256.00;0.89;84.10;-12.95;18.51 
0.149;-0.44;0.00;0.71;-2.78;-17.32;-1.32;46.88;-1.92;-262.00;0.84;84.23;-12.41;18.41 
0.180;-0.42;0.02;0.72;-2.64;-10.57;-2.23;49.87;-0.96;-261.00;0.83;84.35;-12.03;18.30 
0.210;-0.46;0.02;0.80;-0.83;-14.82;-5.29;47.88;-4.80;-264.00;0.92;84.49;-11.77;18.19 
0.240;-0.43;0.05;0.77;-0.63;-18.64;-4.59;46.88;-5.76;-266.00;0.88;84.69;-11.37;18.14 
0.271;-0.43;0.03;0.77;0.63;-20.87;-4.31;43.89;-13.43;-272.00;0.88;84.93;-10.85;18.06 
0.301;-0.41;0.03;0.73;0.97;-21.63;-3.90;46.88;-15.35;-277.00;0.84;85.15;-10.29;18.04 
0.331;-0.31;0.08;0.76;-2.57;-15.51;-1.18;43.89;-16.31;-280.00;0.82;85.34;-9.76;18.03 
0.361;-0.36;0.06;0.77;-5.43;-12.31;0.00;43.89;-20.15;-281.00;0.85;85.39;-9.33;17.91 
0.390;-0.40;0.05;0.77;-4.94;-10.50;-2.23;41.89;-23.99;-284.00;0.87;85.45;-8.99;17.73 
0.420;-0.33;0.00;0.85;-6.54;-8.14;-2.64;42.89;-23.03;-285.00;0.91;85.52;-8.73;17.51 
0.450;-0.35;-0.03;0.88;-9.25;-8.90;-2.85;37.90;-23.99;-288.00;0.95;85.54;-8.33;17.42 
0.481;-0.47;0.02;0.86;-13.01;-15.30;-10.02;35.91;-26.86;-288.00;0.98;85.74;-7.84;17.18 
0.511;-0.42;0.06;0.75;-12.24;-18.09;-6.47;26.93;-29.74;-291.00;0.86;86.04;-7.39;16.83 
0.541;-0.26;0.02;0.73;-11.41;-7.23;1.53;30.92;-33.58;-294.00;0.78;86.20;-6.99;16.48 
0.571;-0.38;-0.07;0.78;-9.32;2.37;-6.05;27.93;-37.42;-291.00;0.87;86.17;-6.98;16.08 
0.601;-0.40;-0.04;0.78;-6.61;-17.74;-9.88;22.94;-30.70;-294.00;0.88;86.39;-6.92;15.74 
