Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;0.22;0.20;0.90;0.83;0.90;-9.32;381.06;-229.93;-384.00;0.95;-121.94;16.19;7.92 
0.030;0.22;0.16;0.78;-0.21;-1.67;-4.38;382.05;-227.07;-383.00;0.83;-121.70;16.06;8.11 
0.061;0.20;0.08;0.84;-0.49;-7.23;3.20;380.07;-224.21;-380.00;0.87;-121.64;16.10;8.18 
0.090;0.26;0.13;0.82;0.49;-7.17;4.03;381.06;-227.07;-382.00;0.87;-121.69;16.24;8.21 
0.119;0.26;0.19;0.90;-1.53;-10.78;0.97;381.06;-229.93;-381.00;0.96;-121.71;16.43;8.25 
0.148;0.27;0.18;0.92;-2.37;-7.03;-1.81;381.06;-232.80;-376.00;0.98;-121.60;16.64;8.33 
0.177;0.26;0.18;0.92;-2.37;0.14;-1.11;380.07;-232.80;-380.00;0.97;-121.51;16.67;8.34 
0.206;0.26;0.15;0.86;-2.09;0.35;-2.16;381.06;-232.80;-380.00;0.91;-121.44;16.57;8.38 
0.235;0.23;0.18;0.88;-2.43;0.07;-3.90;381.06;-233.75;-383.00;0.93;-121.34;16.50;8.40 
0.264;0.26;0.12;0.84;-2.71;1.25;-5.77;380.07;-231.84;-384.00;0.89;-121.17;16.38;8.46 
0.293;0.26;0.06;0.92;-3.20;-1.18;-1.60;377.09;-233.75;-384.00;0.96;-121.02;16.32;8.42 
0.322;0.23;0.13;0.88;-2.57;3.48;1.67;378.08;-233.75;-383.00;0.92;-121.04;16.22;8.37 
0.351;0.26;0.10;0.80;-4.52;3.13;3.48;376.10;-230.89;-387.00;0.85;-121.10;16.04;8.28 
0.380;0.26;0.14;0.81;-1.53;-4.73;4.31;375.11;-232.80;-385.00;0.86;-121.23;16.03;8.19 
0.409;0.31;0.14;0.90;-3.90;-4.45;4.45;378.08;-229.93;-386.00;0.96;-121.30;16.16;8.16 
0.439;0.31;0.16;0.92;-2.09;6.26;0.97;376.10;-232.80;-383.00;0.98;-121.39;16.15;8.09 
0.468;0.27;0.12;0.85;-1.53;9.39;0.83;376.10;-233.75;-383.00;0.90;-121.45;15.87;8.09 
0.497;0.25;0.12;0.82;-1.67;7.51;1.81;375.11;-230.89;-386.00;0.87;-121.53;15.58;8.08 
0.527;0.27;0.09;0.88;-0.70;0.83;2.99;372.13;-229.93;-385.00;0.92;-121.60;15.44;8.06 
0.557;0.28;0.07;0.90;0.56;2.50;6.75;376.10;-232.80;-383.00;0.95;-121.76;15.42;8.04 
0.587;0.25;0.08;0.83;-0.63;7.86;7.51;372.13;-229.93;-385.00;0.87;-122.01;15.25;7.99 
0.617;0.21;0.13;0.81;0.42;4.87;2.64;373.12;-233.75;-385.00;0.85;-122.21;15.02;7.99 
0.647;0.26;0.15;0.77;1.39;0.49;0.83;377.09;-232.80;-383.00;0.83;-122.27;14.89;8.14 
0.677;0.25;0.12;0.81;-1.95;-3.90;0.83;377.09;-230.89;-385.00;0.86;-122.27;14.92;8.18 
0.707;0.25;0.12;0.79;-1.32;0.00;-4.10;374.11;-230.89;-384.00;0.84;-122.19;15.00;8.22 
0.738;0.24;0.11;0.68;0.00;2.16;-8.83;371.14;-229.93;-382.00;0.73;-122.01;14.87;8.29 
0.768;0.27;0.01;0.64;7.72;-8.28;-9.95;376.10;-229.93;-385.00;0.69;-121.67;14.87;8.56 
0.798;0.24;-0.02;0.74;-1.74;-16.77;2.09;377.09;-231.84;-380.00;0.78;-121.47;15.28;8.67 
0.829;0.24;0.06;0.63;-16.56;-2.09;4.38;375.11;-232.80;-380.00;0.68;-121.54;15.59;8.30 
0.859;0.17;0.16;0.51;-6.61;-21.15;-4.17;375.11;-235.66;-383.00;0.56;-121.42;15.86;8.02 
0.889;0.03;-0.07;0.69;6.12;-21.57;-8.35;373.12;-236.61;-382.00;0.69;-120.98;16.57;8.20 
0.918;0.16;-0.04;0.38;-5.08;6.68;0.21;373.12;-239.47;-382.00;0.41;-120.85;16.62;8.08 
0.947;0.05;0.00;0.06;-9.32;-16.63;13.63;374.11;-240.43;-382.00;0.08;-121.05;16.55;7.82 
0.977;0.10;0.19;-0.04;2.09;-64.97;6.54;370.15;-248.06;-382.00;0.22;-121.11;17.51;7.56 
1.007;0.35;0.34;0.18;7.17;-128.21;-10.92;370.15;-260.46;-377.00;0.52;-120.40;20.03;7.85 
1.037;0.97;0.42;0.98;11.20;-166.26;-36.94;371.14;-290.04;-363.00;1.44;-118.16;24.94;8.80 
1.066;1.06;-0.18;1.58;1.53;-59.48;-39.58;377.09;-306.26;-358.00;1.91;-115.61;28.54;9.63 
1.096;0.73;-0.41;1.11;-15.23;55.93;17.60;382.05;-307.21;-353.00;1.39;-115.19;28.46;9.45 
1.126;0.50;0.22;0.24;-2.50;33.11;26.02;378.08;-298.63;-358.00;0.60;-116.57;27.08;8.65 
1.155;0.63;0.70;0.23;11.55;-82.43;-14.54;379.08;-303.40;-354.00;0.97;-116.49;27.93;9.11 
1.185;0.72;0.11;0.99;6.33;-97.74;-35.34;382.05;-312.94;-351.00;1.23;-114.47;30.75;10.10 
1.215;1.06;-0.10;1.17;-8.00;-20.31;-14.26;384.04;-321.53;-343.00;1.58;-112.89;32.46;10.36 
1.245;1.02;0.30;0.99;-7.17;17.25;16.83;383.05;-323.43;-346.00;1.45;-112.80;32.70;10.13 
1.275;0.34;0.28;0.83;-8.00;61.15;-11.55;383.05;-319.62;-349.00;0.94;-113.40;31.64;9.93 
1.305;0.26;-0.14;0.58;-9.81;56.77;-19.69;383.05;-302.44;-352.00;0.65;-113.40;29.65;10.09 
1.336;0.34;0.04;0.42;-9.46;19.69;12.24;384.04;-300.54;-357.00;0.54;-113.85;28.40;9.63 
1.366;0.45;0.20;1.02;-5.29;-8.56;-2.99;381.06;-295.77;-358.00;1.13;-113.88;28.45;9.50 
1.396;0.42;-0.11;1.39;-6.33;49.53;-0.70;382.05;-298.63;-359.00;1.46;-114.03;27.74;9.27 
1.426;0.14;-0.47;2.10;61.77;6.19;24.90;384.04;-290.04;-359.00;2.16;-114.74;26.30;9.42 
1.456;0.34;1.21;2.42;146.92;2.57;39.44;404.88;-297.67;-345.00;2.73;-116.87;26.64;12.78 
1.486;1.69;0.86;2.05;-57.53;2.71;-98.92;414.80;-298.63;-336.00;2.79;-116.26;26.72;14.14 
