Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;-0.42;0.58;0.77;2.57;20.17;-9.95;203.50;-375.52;-391.00;1.05;-177.93;-29.29;16.95 
0.030;-0.48;0.69;0.91;0.90;5.08;-2.85;204.49;-375.52;-389.00;1.24;-177.50;-29.69;17.16 
0.060;-0.49;0.46;0.82;5.63;-21.91;17.04;202.50;-375.52;-392.00;1.06;-177.43;-29.31;17.60 
0.090;-0.37;0.22;0.70;1.46;-28.73;11.97;204.49;-384.09;-389.00;0.82;-177.72;-28.31;18.10 
0.120;-0.25;0.28;0.58;-2.92;-17.88;-2.23;204.49;-389.81;-388.00;0.69;-177.69;-27.45;18.22 
0.150;-0.29;0.27;0.62;-4.03;-6.12;-6.19;202.50;-387.91;-387.00;0.74;-177.52;-26.97;18.27 
0.180;-0.35;0.26;0.62;-8.83;5.50;-10.16;203.50;-393.62;-387.00;0.76;-177.17;-27.01;18.14 
0.211;-0.44;0.18;0.73;-13.08;21.15;-14.19;199.51;-391.72;-386.00;0.87;-176.77;-27.52;17.72 
0.241;-0.54;0.42;0.77;-9.88;27.76;-12.17;195.52;-384.09;-391.00;1.03;-176.27;-28.43;17.23 
0.271;-0.62;0.58;0.78;-2.50;13.70;8.56;195.52;-379.33;-392.00;1.15;-176.07;-29.10;17.21 
0.302;-0.68;0.34;0.77;13.57;29.50;27.34;195.52;-372.66;-389.00;1.08;-176.25;-29.63;17.91 
0.332;-0.51;0.22;0.86;9.18;10.37;24.56;198.51;-369.80;-388.00;1.02;-176.58;-30.04;18.70 
0.362;-0.43;0.11;0.74;-2.99;-12.59;12.94;202.50;-371.70;-391.00;0.86;-176.91;-29.78;19.10 
0.392;-0.43;0.12;0.65;-8.97;-12.52;2.30;197.51;-375.52;-392.00;0.79;-177.09;-29.26;18.96 
0.422;-0.43;0.18;0.69;-2.16;3.97;-1.46;197.51;-375.52;-386.00;0.83;-176.96;-29.15;18.75 
0.452;-0.46;0.26;0.74;0.35;12.17;2.64;197.51;-376.47;-389.00;0.91;-176.76;-29.38;18.77 
0.482;-0.51;0.31;0.76;0.49;10.71;3.62;193.52;-372.66;-391.00;0.97;-176.63;-29.67;18.90 
0.513;-0.51;0.26;0.75;-1.11;7.51;7.86;196.51;-372.66;-391.00;0.94;-176.58;-29.89;19.08 
0.543;-0.57;0.15;0.78;-4.59;2.23;7.03;197.51;-370.75;-391.00;0.98;-176.63;-29.98;19.14 
0.573;-0.50;0.05;0.75;-4.59;0.49;-0.56;196.51;-371.70;-393.00;0.90;-176.71;-29.95;19.07 
0.603;-0.54;0.16;0.70;-3.27;4.24;-6.47;196.51;-369.80;-388.00;0.90;-176.42;-30.11;18.81 
0.633;-0.56;0.16;0.74;-5.29;4.17;-6.89;194.52;-369.80;-391.00;0.94;-176.06;-30.38;18.60 
0.663;-0.53;0.10;0.80;-9.04;-0.83;-8.56;192.52;-369.80;-393.00;0.96;-175.72;-30.61;18.20 
0.693;-0.54;0.10;0.74;-3.90;0.35;-8.90;190.53;-368.84;-391.00;0.92;-175.34;-30.79;17.82 
0.724;-0.54;0.10;0.73;-1.25;5.22;-8.28;191.53;-368.84;-392.00;0.91;-174.85;-31.08;17.55 
0.754;-0.49;0.03;0.78;-3.13;7.72;-11.48;190.53;-366.94;-392.00;0.92;-174.37;-31.43;17.23 
0.784;-0.51;0.03;0.74;2.85;8.42;-8.35;189.53;-367.89;-390.00;0.90;-173.88;-31.74;16.93 
